epsilon,sigma,best_lr,tuning_test_acc,K
0.45,4.890169,0.1,0.8582,22
0.6,2.593154,0.1,0.8928,14
0.8,1.88615,0.1,0.8949,15
1.0,1.601185,0.31622776601683794,0.9105,17
1.2,1.435335,0.31622776601683794,0.9114,22
1.4,1.312616,0.31622776601683794,0.9195,17
1.6,1.225438,0.31622776601683794,0.919,15
1.8,1.155948,0.1,0.8934,10
2.0,1.09629,0.31622776601683794,0.9214,17
2.2,1.047493,0.1,0.8969,12
2.4,1.008691,0.31622776601683794,0.9246,13
2.6,0.979371,0.31622776601683794,0.9284,6
2.8,0.942858,0.31622776601683794,0.9262,14
3.0,0.911557,0.31622776601683794,0.9233,25
